CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     3	    18	      1.209	          1
 1981	     3	    19	      1.005	          1
 1981	     3	    20	     10.725	          1
 1981	     3	    21	      5.414	          1
 1981	     3	    22	      7.558	          1
 1981	     3	    23	      4.076	          1
 1981	     3	    24	      5.535	          1
 1981	     3	    25	      4.530	          1
 1981	     3	    26	      5.414	          1
 1981	     3	    27	     22.180	          1
 1981	     3	    28	      7.558	          1
 1981	     3	    29	      8.900	          1
 1981	     3	    30	      4.879	          1
 1981	     3	    31	      5.474	          1
 1981	     4	     1	      9.731	          1
 1981	     4	     2	      3.634	          1
 1981	     4	     3	      4.245	          1
 1981	     4	     4	      5.174	          1
 1981	     4	     5	      5.354	          1
 1981	     4	     6	      3.853	          1
 1981	     4	     7	      3.206	          1
 1981	     4	     8	      3.206	          1
 1981	     4	     9	      3.365	          1
 1981	     4	    10	      3.580	          1
 1981	     4	    11	      3.311	          1
 1981	     4	    12	      2.997	          1
 1981	     4	    13	      2.792	          1
 1981	     4	    14	      4.188	          1
 1981	     4	    15	      3.101	          1
 1981	     4	    16	      2.945	          1
 1981	     4	    17	      3.311	          1
 1981	     4	    18	      2.843	          1
 1981	     4	    19	      2.393	          1
 1981	     4	    20	      1.895	          1
 1981	     4	    21	      1.829	          1
 1981	     4	    22	      1.639	          1
 1981	     4	    23	      1.797	          1
 1981	     4	    24	      1.578	          1
 1981	     4	    25	      2.843	          1
 1981	     4	    26	      2.296	          1
 1981	     4	    27	      1.488	          1
 1981	     4	    28	      1.608	          1
 1981	     4	    29	      1.701	          1
 1981	     4	    30	      1.961	          1
 1981	     5	     1	      2.200	          1
 1981	     5	     2	      2.152	          1
 1981	     5	     3	      2.200	          1
 1981	     5	     4	      1.961	          1
 1981	     5	     5	      1.765	          1
 1981	     5	     6	      1.488	          1
 1981	     5	     7	      1.345	          1
 1981	     5	     8	      1.797	          1
 1981	     5	     9	      1.430	          1
