CABra ID  	 735
ANA ID    	 87400000
Longitude 	 -51.068   	 dd
Latitude  	 -29.963   	 dd
Area      	 1664.71   	 km²
Elevation 	 55.72     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     3	    18	     11.013	          1
 1981	     3	    19	     10.693	          1
 1981	     3	    20	      8.157	          1
 1981	     3	    21	      7.476	          1
 1981	     3	    22	      7.081	          1
 1981	     3	    23	      7.610	          1
 1981	     3	    24	      6.823	          1
 1981	     3	    25	      6.322	          1
 1981	     3	    26	      5.491	          1
 1981	     3	    27	      5.152	          1
 1981	     3	    28	      5.959	          1
 1981	     3	    29	      7.081	          1
 1981	     3	    30	      6.446	          1
 1981	     3	    31	      5.840	          1
 1981	     4	     1	      5.042	          1
 1981	     4	     2	      4.611	          1
 1981	     4	     3	      4.200	          1
 1981	     4	     4	      3.712	          1
 1981	     4	     5	      3.253	          1
 1981	     4	     6	      2.662	          1
 1981	     4	     7	      2.275	          1
 1981	     4	     8	      1.987	          1
 1981	     4	     9	      1.850	          1
 1981	     4	    10	      1.717	          1
 1981	     4	    11	      1.783	          1
 1981	     4	    12	      1.590	          1
 1981	     4	    13	      1.408	          1
 1981	     4	    14	      1.987	          1
 1981	     4	    15	      2.825	          1
 1981	     4	    16	      3.618	          1
 1981	     4	    17	      4.824	          1
 1981	     4	    18	      5.491	          1
 1981	     4	    19	      5.152	          1
 1981	     4	    20	      4.200	          1
 1981	     4	    21	      3.525	          1
 1981	     4	    22	      2.825	          1
 1981	     4	    23	      2.350	          1
 1981	     4	    24	      2.201	          1
 1981	     4	    25	      3.078	          1
 1981	     4	    26	      3.903	          1
 1981	     4	    27	      5.606	          1
 1981	     4	    28	      5.959	          1
 1981	     4	    29	      6.951	          1
 1981	     4	    30	      8.157	          1
 1981	     5	     1	      9.458	          1
 1981	     5	     2	     10.534	          1
 1981	     5	     3	      9.458	          1
 1981	     5	     4	      8.157	          1
 1981	     5	     5	      7.476	          1
 1981	     5	     6	      7.343	          1
 1981	     5	     7	      7.211	          1
 1981	     5	     8	      7.610	          1
 1981	     5	     9	      6.570	          1
 1981	     5	    10	      6.446	          1
 1981	     5	    11	      6.446	          1
 1981	     5	    12	      6.570	          1
 1981	     5	    13	      6.696	          1
 1981	     5	    14	      5.959	          1
 1981	     5	    15	      7.745	          1
 1981	     5	    16	      8.580	          1
 1981	     5	    17	      6.570	          1
 1981	     5	    18	      5.042	          1
 1981	     5	    19	      5.042	          1
 1981	     5	    20	      6.322	          1
 1981	     5	    21	      6.696	          1
 1981	     5	    22	      8.019	          1
 1981	     5	    23	      8.297	          1
 1981	     5	    24	      6.696	          1
 1981	     5	    25	      4.932	          1
 1981	     5	    26	      5.491	          1
 1981	     5	    27	      6.446	          1
 1981	     5	    28	      7.610	          1
 1981	     5	    29	      6.696	          1
 1981	     5	    30	      5.491	          1
 1981	     5	    31	      4.506	          1
 1981	     6	     1	      4.200	          1
