CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	     3	    19	      1.691	          2
 1981	     3	    20	      1.691	          1
 1981	     3	    21	      1.691	          1
 1981	     3	    22	      1.691	          1
 1981	     3	    23	      1.624	          2
 1981	     3	    24	      1.312	          2
 1981	     3	    25	      1.094	          2
 1981	     3	    26	      1.094	          2
 1981	     3	    27	      1.094	          2
 1981	     3	    28	      1.094	          2
 1981	     3	    29	      1.200	          2
 1981	     3	    30	      1.312	          2
 1981	     3	    31	      1.371	          2
 1981	     4	     1	      1.432	          2
 1981	     4	     2	      1.624	          2
 1981	     4	     3	      2.293	          2
 1981	     4	     4	      2.598	          2
 1981	     4	     5	      1.906	          2
 1981	     4	     6	      1.494	          2
 1981	     4	     7	      1.044	          2
 1981	     4	     8	      1.044	          2
 1981	     4	     9	      1.432	          2
 1981	     4	    10	      1.906	          2
 1981	     4	    11	      2.495	          2
 1981	     4	    12	      3.352	          2
 1981	     4	    13	      3.577	          2
 1981	     4	    14	      4.160	          2
 1981	     4	    15	      7.296	          2
 1981	     4	    16	      9.813	          2
 1981	     4	    17	     10.753	          2
 1981	     4	    18	      7.580	          2
 1981	     4	    19	      6.876	          2
 1981	     4	    20	      8.452	          2
 1981	     4	    21	      9.967	          2
 1981	     4	    22	     14.586	          2
 1981	     4	    23	     18.566	          2
 1981	     4	    24	     17.821	          2
 1981	     4	    25	     15.288	          2
 1981	     4	    26	      7.580	          2
 1981	     4	    27	      6.193	          2
 1981	     4	    28	      6.193	          2
 1981	     4	    29	      6.876	          2
 1981	     4	    30	     19.319	          2
 1981	     5	     1	     23.222	          2
 1981	     5	     2	     34.994	          2
 1981	     5	     3	     36.134	          2
 1981	     5	     4	     45.393	          2
 1981	     5	     5	     45.639	          2
 1981	     5	     6	     18.378	          2
 1981	     5	     7	     15.288	          2
